,Exchange ticker,Symbol,Companies,Sector
0,500820:BOM,ASIANPAINT.BO,Asian Paints,Paints
1,532215:BOM,AXISBANK.BO,Axis Bank,Banking - Private
2,532977:BOM,BAJAJ-AUTO.BO,Bajaj Auto,Automobile
3,500034:BOM,BAJFINANCE.BO,Bajaj Finance,Finance (NBFC)
4,532978:BOM,BAJAJFINSV.BO,Bajaj Finserv,Finance (Investment)
5,532454:BOM,BHARTIARTL.BO,Bharti Airtel,Telecommunications
6,500124:BOM,DRREDDY.BO,Dr Reddy's Laboratories,Pharmaceuticals
7,532281:BOM,HCLTECH.BO,HCL Technologies,IT Services & Consulting
8,500010:BOM,HDFC.BO,HDFC,Finance (Housing)
9,500180:BOM,HDFCBANK.BO,HDFC Bank,Banking - Private
10,500696:BOM,HINDUNILVR.BO,Hindustan Unilever Limited,FMCG
11,532174:BOM,ICICIBANK.BO,ICICI Bank,Banking - Private
12,532187:BOM,INDUSINDBK.BO,IndusInd Bank,Banking - Private
13,500209:BOM,INFY.BO,Infosys,IT Services & Consulting
14,500875:BOM,ITC.BO,ITC Limited,Cigarettes & FMCG
15,500247:BOM,KOTAKBANK.BO,Kotak Mahindra Bank,Banking - Private
16,500510:BOM,LT.BO,Larsen & Toubro,Engineering & Construction
17,500520:BOM,M&M.BO,Mahindra & Mahindra,Automobile
18,532500:BOM,MARUTI.BO,Maruti Suzuki,Automobile
19,500790:BOM,NESTLEIND.BO,Nestlé India,FMCG
20,532555:BOM,NTPC.BO,NTPC,Power generation/Distribution
21,500312:BOM,ONGC.BO,Oil and Natural Gas Corporation,Oil exploration and Production
22,532898:BOM,POWERGRID.BO,Power Grid Corporation of India,Power generation/Distribution
23,500325:BOM,RELIANCE.BO,Reliance Industries Limited,Conglomerate
24,500112:BOM,SBIN.BO,State Bank of India,Banking - Public
25,524715:BOM,SUNPHARMA.BO,Sun Pharma,Pharmaceuticals
26,532540:BOM,TCS.BO,Tata Consultancy Services,IT Services & Consulting
27,532755:BOM,TECHM.BO,Tech Mahindra,IT Services & Consulting
28,500114:BOM,TITAN.BO,Titan Company,Diamond & Jewellery
29,532538:BOM,ULTRACEMCO.BO,UltraTech Cement,Cement
