,Ticker,Title,Close,MarketCap
0,500325:BOM,RELIANCE INDUSTRIES LTD.,2632.20,1780701.03
1,532540:BOM,TATA CONSULTANCY SERVICES LTD.,3356.5,1228160.59
2,500180:BOM,HDFC Bank Ltd,1396.3,775225.66
3,500209:BOM,INFOSYS LTD.,1478.9,622238.94
4,500696:BOM,HINDUSTAN UNILEVER LTD.,2308.7,542450.13
5,532174:BOM,ICICI BANK LTD.,752.7,523353.87
6,543526:BOM,Life Insurance Corporation of India,810.55,512672.69
7,500010:BOM,HOUSING DEVELOPMENT FINANCE CORP.LTD.,2328.85,422506.57
8,500112:BOM,STATE BANK OF INDIA,468.2,417850.31
9,532454:BOM,BHARTI AIRTEL LTD.,694.25,381283.99
10,500247:BOM,KOTAK MAHINDRA BANK LTD.,1867.05,370636.88
11,500034:BOM,Bajaj Finance Limited,6010.0,363862.97
12,500875:BOM,ITC LTD.,271.8,334946.1
13,541450:BOM,Adani Green Energy Ltd,1846.9,292554.96
14,532281:BOM,HCL TECHNOLOGIES LTD.,1018.5,276386.79
15,500820:BOM,ASIAN PAINTS LTD.,2853.1,273668.72
16,507685:BOM,WIPRO LTD.,470.75,258078.58
17,542066:BOM,Adani Total Gas Ltd,2326.15,255832.32
18,540376:BOM,Avenue Supermarts Ltd,3871.9,250811.88
19,512599:BOM,ADANI ENTERPRISES LTD.,2150.8,245191.44
20,532500:BOM,MARUTI SUZUKI INDIA LTD.,7937.6,239779.07
21,500510:BOM,LARSEN & TOUBRO LTD.,1648.55,231645.22
22,539254:BOM,Adani Transmission Ltd,1958.1,218424.62
23,532215:BOM,AXIS BANK LTD.,686.5,210837.1
24,524715:BOM,SUN PHARMACEUTICAL INDUSTRIES LTD.,839.8,201491.2
25,532978:BOM,BAJAJ FINSERV LTD.,12598.75,200493.29
26,500114:BOM,Titan Company Limited,2197.5,195091.01
27,500312:BOM,Oil and Natural Gas Corporation Ltd,149.7,188326.78
28,532538:BOM,ULTRATECH CEMENT LTD.,5977.65,172557.33
29,500790:BOM,NESTLE INDIA LTD.,17238.5,166206.23
30,532898:BOM,POWER GRID CORPORATION OF INDIA LTD.,229.05,159772.75
31,532921:BOM,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,736.8,155639.66
32,532555:BOM,NTPC LTD.,156.8,152043.72
33,500570:BOM,TATA MOTORS LTD.,444.7,147678.43
34,500228:BOM,JSW STEEL LTD.,569.95,137769.48
35,500188:BOM,HINDUSTAN ZINC LTD.,309.9,130942.64
