,Company Name,Symbol,Sector
0,ACC,ACC:NSE,Cement
1,Adani Enterprises,ADANIENT:NSE,Metals
2,Adani Green Energy,ADANIGREEN:NSE,Energy - Power
3,Adani Transmission,ADANITRANS:NSE,Energy - Power
4,Ambuja Cements,AMBUJACEM:NSE,Cement
5,Avenue Supermarts,DMART:NSE,Retail
6,Bajaj Holdings,BAJAJHLDNG:NSE,Financial Services
7,Bandhan Bank,BANDHANBNK:NSE,Banking
8,Bank of Baroda,BANKBARODA:NSE,Banking
9,Berger Paints,BERGEPAINT:NSE,Consumer Goods
10,Biocon,BIOCON:NSE,Pharmaceuticals
11,Bosch,BOSCHLTD:NSE,Industrials
12,Cholamandalam,CHOLAFIN:NSE,Financial Services
13,Colgate-Palmolive,COLPAL:NSE,Consumer Goods
14,Dabur,DABUR:NSE,Consumer Goods
15,DLF,DLF:NSE,Construction
16,GAIL,GAIL:NSE,Energy - Oil & Gas
17,Gland Pharma,GLAND:NSE,Pharmaceuticals
18,Godrej Consumer Products,GODREJCP:NSE,Consumer Goods
19,Havells,HAVELLS:NSE,Consumer Durables
20,HDFC AMC,HDFCAMC:NSE,Financial Services
21,ICICI Lombard General Insurance,ICICIGI:NSE,Financial Services
22,ICICI Prudential Life Insurance,ICICIPRULI:NSE,Financial Services
23,Indian Oil Corporation,IOC:NSE,Energy - Oil & Gas
24,Indus Towers,INDUSTOWER:NSE,Telecommunication
25,Info Edge,NAUKRI:NSE,Internet Services
26,Interglobe Aviation,INDIGO:NSE,Airlines
27,Jubilant FoodWorks,JUBLFOOD:NSE,Consumer Goods
28,L&T Infotech,LTI:NSE,Information Technology
29,Lupin,LUPIN:NSE,Pharmaceuticals
30,Marico,MARICO:NSE,Consumer Goods
31,Mindtree,MINDTREE:NSE,Information Technology
32,Muthoot Finance,MUTHOOTFIN:NSE,Financial Services
33,NMDC,NMDC:NSE,Metals
34,Nykaa,NYKAA:NSE,Internet Services
35,Paytm,PAYTM:NSE,Internet Services
36,PI Industries,PIIND:NSE,Chemicals
37,Pidilite Industries,PIDILITIND:NSE,Chemicals
38,Piramal Enterprises,PEL:NSE,Pharmaceuticals
39,Procter & Gamble,PGHH:NSE,Consumer Goods
40,Punjab National Bank,PNB:NSE,Banking
41,SBI Card,SBICARD:NSE,Financial Services
42,Siemens,SIEMENS:NSE,Industrials
43,SRF,SRF:NSE,Chemicals
44,Steel Authority of India,SAIL:NSE,Metals
45,Torrent Pharmaceuticals,TORNTPHARM:NSE,Pharmaceuticals
46,United Spirits,MCDOWELL-N:NSE,Consumer Goods
47,Vedanta,VEDL:NSE,Metals
48,Zomato,ZOMATO:NSE,Internet Services
49,Zydus Lifesciences,ZYDUSLIFE:NSE,Pharmaceuticals
