,Symbol,Company name
0,20MICRONS:NSE,20 Microns Limited
1,21STCENMGM:NSE,21st Century Management Services Limited
2,3IINFOTECH:NSE,3i Infotech Limited
3,3MINDIA:NSE,3M India Limited
4,3PLAND:NSE,3P Land Holdings Limited
5,3RDROCK:NSE,3rd Rock Multimedia Limited
6,5PAISA:NSE,5Paisa Capital Limited
7,63MOONS:NSE,63 Moons Technologies Limited
8,AMJUMBO:NSE,A and M Jumbo Bags Limited
9,ABINFRA:NSE,A B Infrabuild Limited
10,ABNINT:NSE,A B N Intercorp Limited
11,A2ZINFRA:NSE,A2Z Infra Engineering Limited
12,AAKASH:NSE,Aakash Exploration Services Limited
13,AARON:NSE,Aaron Industries Limited
14,AARTIDRUGS:NSE,Aarti Drugs Limited
15,AARTIIND:NSE,Aarti Industries Limited
16,AARVEEDEN:NSE,Aarvee Denims & Exports Limited
17,AARVI:NSE,Aarvi Encon Limited
18,AAVAS:NSE,Aavas Financiers Limited
19,ABAN:NSE,Aban Offshore Limited
20,ABB:NSE,ABB India Limited
21,POWERINDIA:NSE,ABB Power Products and Systems India Limited
22,ABMINTLTD:NSE,ABM International Limited
23,ACC:NSE,ACC Limited
24,ACCELYA:NSE,Accelya Solutions India Limited
25,ACCORD:NSE,Accord Synergy Limited
26,ACCURACY:NSE,Accuracy Shipping Limited
27,ACEINTEG:NSE,Ace Integrated Solutions Limited
28,ACE:NSE,Action Construction Equipment Limited
29,ADANIENT:NSE,Adani Enterprises Limited
30,ADANIGAS:NSE,Adani Gas Limited
31,ADANIGREEN:NSE,Adani Green Energy Limited
32,ADANIPORTS:NSE,Adani Ports and Special Economic Zone Limited
33,ADANIPOWER:NSE,Adani Power Limited
34,ADANITRANS:NSE,Adani Transmission Limited
35,ADFFOODS:NSE,ADF Foods Limited
36,ADHUNIKIND:NSE,Adhunik Industries Limited
37,ABCAPITAL:NSE,Aditya Birla Capital Limited
38,ABFRL:NSE,Aditya Birla Fashion and Retail Limited
39,BIRLAMONEY:NSE,Aditya Birla Money Limited
40,ADLABS:NSE,Adlabs Entertainment Limited
41,ADORWELD:NSE,Ador Welding Limited
42,ADROITINFO:NSE,Adroit Infotech Limited
43,ADVENZYMES:NSE,Advanced Enzyme Technologies Limited
44,ADVANIHOTR:NSE,Advani Hotels & Resorts (India) Limited
45,AEGISCHEM:NSE,Aegis Logistics Limited
46,AFFLE:NSE,Affle (India) Limited
47,AGARIND:NSE,Agarwal Industrial Corporation Limited
48,AGCNET:NSE,AGC Networks Limited
49,AGRITECH:NSE,Agri-Tech (India) Limited
50,AGROPHOS:NSE,Agro Phos India Limited
51,ATFL:NSE,Agro Tech Foods Limited
52,AHIMSA:NSE,Ahimsa Industries Limited
53,AHLADA:NSE,Ahlada Engineers Limited
54,AHLUCONT:NSE,Ahluwalia Contracts (India) Limited
55,AIAENG:NSE,AIA Engineering Limited
56,AIRAN:NSE,Airan Limited
57,AIROLAM:NSE,Airo Lam limited
58,AJANTPHARM:NSE,Ajanta Pharma Limited
59,AJMERA:NSE,Ajmera Realty & Infra India Limited
