,Symbol,Name,Sector
0,MMM:NYSE,3M,Industrials
1,AOS:NYSE,A. O. Smith,Industrials
2,ABT:NYSE,Abbott Laboratories,Health Care
3,ABBV:NYSE,AbbVie,Health Care
4,ABMD:NYSE,Abiomed,Health Care
5,ACN:NYSE,Accenture,Information Technology
6,ATVI:NYSE,Activision Blizzard,Communication Services
7,ADM:NYSE,ADM,Consumer Staples
8,ADBE:NYSE,Adobe,Information Technology
9,AAP:NYSE,Advance Auto Parts,Consumer Discretionary
10,AMD:NYSE,Advanced Micro Devices,Information Technology
11,AES:NYSE,AES Corp,Utilities
12,AFL:NYSE,Aflac,Financials
13,A:NYSE,Agilent Technologies,Health Care
14,APD:NYSE,Air Products & Chemicals,Materials
15,AKAM:NYSE,Akamai Technologies,Information Technology
16,ALB:NYSE,Albemarle Corporation,Materials
17,ALK:NYSE,Alaska Air Group,Industrials
18,ARE:NYSE,Alexandria Real Estate Equities,Real Estate
19,ALGN:NYSE,Align Technology,Health Care
20,ALLE:NYSE,Allegion,Industrials
21,LNT:NYSE,Alliant Energy,Utilities
22,ALL:NYSE,Allstate Corp,Financials
23,GOOGL:NYSE,Alphabet (Class A),Communication Services
24,GOOG:NYSE,Alphabet (Class C),Communication Services
25,MO:NYSE,Altria Group,Consumer Staples
26,AMZN:NYSE,Amazon,Consumer Discretionary
27,AMCR:NYSE,Amcor,Materials
28,AEE:NYSE,Ameren Corp,Utilities
29,AAL:NYSE,American Airlines Group,Industrials
30,AEP:NYSE,American Electric Power,Utilities
31,AXP:NYSE,American Express,Financials
32,AIG:NYSE,American International Group,Financials
33,AMT:NYSE,American Tower,Real Estate
34,AWK:NYSE,American Water Works,Utilities
35,AMP:NYSE,Ameriprise Financial,Financials
36,ABC:NYSE,AmerisourceBergen,Health Care
37,AME:NYSE,Ametek,Industrials
38,AMGN:NYSE,Amgen,Health Care
39,APH:NYSE,Amphenol,Information Technology
40,ADI:NYSE,Analog Devices,Information Technology
41,ANSS:NYSE,Ansys,Information Technology
42,ANTM:NYSE,Anthem,Health Care
43,AON:NYSE,Aon,Financials
44,APA:NYSE,APA Corporation,Energy
45,AAPL:NYSE,Apple,Information Technology
46,AMAT:NYSE,Applied Materials,Information Technology
47,APTV:NYSE,Aptiv,Consumer Discretionary
48,ANET:NYSE,Arista Networks,Information Technology
49,AJG:NYSE,Arthur J. Gallagher & Co.,Financials
50,AIZ:NYSE,Assurant,Financials
51,T:NYSE,AT&T,Communication Services
52,ATO:NYSE,Atmos Energy,Utilities
53,ADSK:NYSE,Autodesk,Information Technology
54,ADP:NYSE,Automatic Data Processing,Information Technology
55,AZO:NYSE,AutoZone,Consumer Discretionary
56,AVB:NYSE,AvalonBay Communities,Real Estate
57,AVY:NYSE,Avery Dennison,Materials
58,BKR:NYSE,Baker Hughes,Energy
59,BLL:NYSE,Ball Corp,Materials
60,BAC:NYSE,Bank of America,Financials
61,BBWI:NYSE,Bath & Body Works Inc.,Consumer Discretionary
62,BAX:NYSE,Baxter International,Health Care
63,BDX:NYSE,Becton Dickinson,Health Care
64,BRK.B:NYSE,Berkshire Hathaway,Financials
65,BBY:NYSE,Best Buy,Consumer Discretionary
66,BIO:NYSE,Bio-Rad Laboratories,Health Care
67,TECH:NYSE,Bio-Techne,Health Care
68,BIIB:NYSE,Biogen,Health Care
69,BLK:NYSE,BlackRock,Financials
70,BK:NYSE,BNY Mellon,Financials
71,BA:NYSE,Boeing,Industrials
72,BKNG:NYSE,Booking Holdings,Consumer Discretionary
73,BWA:NYSE,BorgWarner,Consumer Discretionary
74,BXP:NYSE,Boston Properties,Real Estate
75,BSX:NYSE,Boston Scientific,Health Care
76,BMY:NYSE,Bristol Myers Squibb,Health Care
77,AVGO:NYSE,Broadcom,Information Technology
78,BR:NYSE,Broadridge Financial Solutions,Information Technology
79,BRO:NYSE,Brown & Brown,Financials
80,BF.B:NYSE,Brown–Forman,Consumer Staples
81,CHRW:NYSE,C. H. Robinson,Industrials
82,CDNS:NYSE,Cadence Design Systems,Information Technology
83,CZR:NYSE,Caesars Entertainment,Consumer Discretionary
84,CPB:NYSE,Campbell Soup,Consumer Staples
85,COF:NYSE,Capital One Financial,Financials
86,CAH:NYSE,Cardinal Health,Health Care
87,KMX:NYSE,CarMax,Consumer Discretionary
88,CCL:NYSE,Carnival Corporation,Consumer Discretionary
89,CARR:NYSE,Carrier Global,Industrials
90,CTLT:NYSE,Catalent,Health Care
91,CAT:NYSE,Caterpillar,Industrials
92,CBOE:NYSE,Cboe Global Markets,Financials
